title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 6.5 - 42 km w of sola, vanuatu",6.5,2023-08-16 12:47:00,7,4,green,0,657,us,114,7.177,25.0,mww,192.955,-13.8814,167.158,"sola, vanuatu",vanuatu
"m 6.5 - 43 km s of intipucá, el salvador",6.5,2023-07-19 00:22:00,8,6,yellow,0,775,us,92,0.679,40.0,mww,69.727,12.814,-88.1265,"intipucá, el salvador",unknown
"m 6.6 - 25 km ese of loncopué, argentina",6.6,2023-07-17 03:05:00,7,5,green,0,899,us,70,1.634,28.0,mww,171.371,-38.1911,-70.3731,"loncopué, argentina",argentina
"m 7.2 - 98 km s of sand point, alaska",7.2,2023-07-16 06:48:00,6,6,green,1,860,us,173,0.907,36.0,mww,32.571,54.3844,-160.699,"sand point, alaska",unknown
m 7.3 - alaska peninsula,7.3,2023-07-16 06:48:00,0,5,unknown,1,820,at,79,0.879451,172.8,mi,21.0,54.49,-160.796,alaska peninsula,unknown
"m 6.6 - 277 km nne of codrington, antigua and barbuda",6.6,2023-10-07 20:28:00,5,4,green,1,802,us,95,2.454,37.0,mww,10.0,20.0196,-61.0955,"codrington, antigua and barbuda",unknown
m 6.9 - tonga,6.9,2023-02-07 10:27:00,4,4,green,1,741,us,136,1.179,23.0,mww,229.0,-17.853,-174.937,tonga,unknown
m 7.2 - south of the fiji islands,7.2,2023-06-15 18:06:00,8,6,green,1,804,us,85,2.59,24.0,mww,167.404,-22.9824,-177.208,the fiji islands,unknown
m 6.6 - panama-colombia border region,6.6,2023-05-25 03:05:00,6,6,green,1,733,us,50,2.163,129.0,mww,10.0,8.8894,-77.1231,panama-colombia border region,colombia
m 7.1 - southeast of the loyalty islands,7.1,2023-05-20 01:51:00,3,4,green,1,777,us,98,2.812,56.0,mww,35.981,-23.0622,170.456,the loyalty islands,unknown
m 7.7 - southeast of the loyalty islands,7.7,2023-05-19 02:57:00,5,4,green,1,927,us,277,3.111,15.0,mww,18.027,-23.2286,170.694,the loyalty islands,unknown
"m 7.6 - 95 km wnw of hihifo, tonga",7.6,2023-10-05 16:02:00,8,6,green,1,907,us,111,3.631,17.0,mww,210.097,-15.6002,-174.608,"hihifo, tonga",unknown
m 6.6 - south of the fiji islands,6.6,2023-04-28 03:13:00,0,2,green,0,670,us,52,5.123,50.0,mww,598.467,-25.2657,178.424,the fiji islands,unknown
"m 7.1 - 170 km sse of teluk dalam, indonesia",7.1,2023-04-24 20:00:00,9,7,green,0,838,us,70,2.282,58.0,mww,15.462,-0.781,98.5339,"teluk dalam, indonesia",indonesia
"m 7.1 - kermadec islands, new zealand",7.1,2023-04-24 00:41:00,8,7,green,1,777,us,126,0.708,23.0,mww,43.063,-30.0249,-177.897,"kermadec islands, new zealand",unknown
m 6.7 - south of the fiji islands,6.7,2023-04-18 04:31:00,0,3,green,1,691,us,166,4.719,10.0,mww,595.854,-22.2844,179.391,the fiji islands,unknown
"m 7.0 - 96 km n of tuban, indonesia",7.0,2023-04-14 09:55:00,5,3,green,0,818,us,131,1.881,31.0,mww,594.028,-6.0255,112.033,"tuban, indonesia",indonesia
